real12,pred12,real3,pred3
65.77778,64.0518,63.444443,64.39769
67.625,64.38813,64.875,64.323265
66.75,64.89979,67.75,64.80194
63.88889,65.03975,66.22222,64.50016
66.875,65.45206,66.5,64.84073
68.22222,66.02552,50.875,65.5547
66.25,66.34816,61.444443,65.67803
67.125,66.45036,64.0,65.91263
64.888885,66.11047,67.0,65.52467
58.625,66.25399,65.77778,65.378876
64.666664,66.50509,67.625,65.649376
66.75,66.684525,66.75,65.85847
65.77778,66.7314,63.88889,65.95775
66.375,66.837715,66.875,66.24813
68.75,67.03428,68.22222,66.49782
67.111115,67.18034,66.25,66.49298
67.875,67.17273,67.125,66.67823
66.375,67.25491,64.888885,66.96897
68.55556,67.21687,58.625,66.98276
67.875,67.34751,64.666664,67.15629
67.28571,67.47233,66.75,67.11766
66.0,67.336395,65.77778,66.99938
64.666664,67.624,66.375,67.132095
66.77778,67.94345,68.75,67.44102
65.5,67.78296,67.111115,67.16051
67.5,67.82082,67.875,67.145676
65.125,68.0739,66.375,67.61476
66.111115,67.98307,68.55556,67.56938
68.625,68.004814,67.875,67.78866
68.44444,67.948654,67.28571,67.74829
67.75,67.94297,66.0,68.00787
68.25,67.871925,64.666664,68.07243
67.125,67.819084,66.77778,68.0484
69.125,67.680756,65.5,67.77527
67.0,67.71681,67.5,67.47136
65.375,67.74302,65.125,67.56379
67.125,67.68682,66.111115,67.36101
67.71429,67.58063,68.625,67.565216
67.375,67.41242,68.44444,67.207054
68.111115,67.29102,67.75,67.22635
65.25,67.05293,68.25,67.52363
67.333336,67.02688,67.125,67.630264
64.25,66.87499,69.125,67.62892
65.77778,66.843475,67.0,67.707924
64.875,66.75386,65.375,67.52042
67.0,66.88148,67.125,67.701546
66.57143,66.8604,67.71429,67.597946
66.0,66.37,67.375,67.11454
67.5,66.31062,68.111115,67.119774
63.125,66.30443,65.25,67.20321
63.88889,66.13967,67.333336,67.1588
67.125,66.10983,64.25,67.236084
67.625,65.83977,65.77778,66.816345
66.0,65.84672,64.875,66.864746
64.5,65.662704,67.0,66.33389
66.77778,65.59939,66.57143,66.24491
64.25,65.5108,66.0,66.00752
66.125,65.57978,67.5,66.25738
